,Cliente,Punto de atención,Direccion,Longitud,Latitud
1,ACCENTURE LIMPIEZA MERIDA,MERIDA,"Av. Colón 504, Centro, 97000 Mérida, Yucatán.",-89.62119165,20.98627881
2,BANCO VE POR MAS (BX+),MERIDA MID CENTER,C. 54 No. 371 x 47 y 49 Local 9 PB  benito juarez norte,-89.61903882,21.01931042
3,BANCO VE POR MAS (BX+),MERIDA MONTEJO,Prolongación Paseo de Montejo no 485 x 17A y 19,-89.61673625,20.99427549
4,ELEKTRA,1767 DAZ PISTE,Calle 10 148G Piste Tinum 97757,-88.58624564,20.69655094
5,ELEKTRA,2216 EKT YUCATAN TIZIMIN,48 X 55 401 Centro 97700,-88.15162809,21.14184517
6,ELEKTRA,2597 MOTOS OXKUTZCAB,C. 49No S/N Centro 97880,-89.41203195,20.3023048
7,ELEKTRA,2948  DAZ PLAZA FIESTA,Calle 6 400 1 y 2 Diaz Ordaz 97130,-89.59649984,20.99960865
8,ELEKTRA,3176 DAZ CENOTILLO YUCATAN,Calle 19 154 Cenotillo 97640,-88.6039789,20.96578413
9,ELEKTRA,3278 DAZ TZUCACAB YUCATAN,Calle 30 SN Tzucacab 97960,-89.04975926,20.07465492
10,ELEKTRA,5862 DAZ CHEMAX,Calle 19 101 A Chemax 97770,-87.93780959,20.65685494
11,ELEKTRA,5905 DAZ BUCTZOTZ,Calle 21 105 B Buctzotz 97620,-88.79520869,21.20209945
12,ELEKTRA,5906 DAZ OXKUTZCAB,Calle 50 LOCAL 4 Oxkutzcab 97880,-89.4183195,20.30417048
13,ELEKTRA,5918 PRESTA PRENDA CORTES SARMIENTO MERIDA,Calle 65 197A Cortes Sarmiento 97168,-89.59126745,20.95994694
14,ELEKTRA,6045 EKT MACRO PLAZA MERIDA,Calle 33 X 40 Y 44 200 Poligono Itzimna 97143,-89.57291504,21.00018946
15,ELEKTRA,6085 EKT YUCATAN TEKAX,Calle 50N X 55 Y 57 209 Centro 97970,-89.28857628,20.20278413
16,ELEKTRA,6095 EKT YUCATAN HUNUCMA,Calle 29X30 Y 28 199 CENTRO 97350,-89.87689087,21.01726539
17,ELEKTRA,6102 EKT YUCATAN PETO,Calle 33 X 30 Y 32 208 Centro 97930,-88.92371288,20.12529503
18,ELEKTRA,6238 DAZ TIXKOKOB,Calle 21 SN Tixkokob 97470,-89.39600442,21.00246704
19,ELEKTRA,6367 DAZ TEABO YUCATAN,Calle 32 199 Teabo 97910,-89.28546013,20.40059357
20,ELEKTRA,6897 MEGA VALLADOLID,44 X 37 Y 39 193 Centro 97780,-88.2037803,20.69099778
21,ELEKTRA,7993 EKT PROGRESO,Calle 80 136 X27 Y 29 Centro 97320,-89.66292197,21.28481396
